a	A
scratchings	goresan
scratchpad	papan penggaris
scratchy	gatal
scrawl	tulisan cakar ayam
scrawled	jebret
scrawling	mencoret-coret
scrawls	coretan
scrawny	kurus kering
scream	berteriak
screamed	berteriak
screamer	orang yang berteriak
screamers	orang-orang yang berteriak
screaming	teriakan
screamingly	amat
screams	jeritan
scree	kerikil
screech	jeritan
screeched	menjerit
screeches	jeritan
screeching	melengking
screechy	yg melengking
screed	lapisan semen
screeds	lantai beton
screen	layar
screened	disaring
screener	penyaring
screening	penyaringan
screenings	pemutaran film
screenplay	skenario
screenplays	naskah film
screens	layar
screensaver	screensaver
screensavers	penghemat layar
screenshot	tangkapan layar
screenshots	tangkapan layar
screenwriter	penulis skenario
screenwriters	penulis skenario
screenwriting	penulisan skenario
screw	baut
screwball	orang edan
screwdriver	obeng
screwdrivers	obeng
screwed	sekrup
screwing	memasang sekrup
screws	sekrup
screwy	edan
scribal	juru tulis
scribble	tulisan cakar ayam
scribbled	coretan
scribbler	penulis
scribblers	penulis
scribbles	coretan
scribbling	mencoret-coret
scribblings	coretan
scribe	penulis
scribed	ditulis
scriber	juru tulis
scribers	juru tulis
scribes	juru tulis
scribing	menulis
scrim	samaran
scrimmage	pergumulan
scrimmages	latihan tanding
scrimp	berhemat
scrims	kain kasa
scrimshaw	ukiran tulang
scrip	surat berharga
scrips	surat berharga
script	naskah
scripted	ditulis
scripting	pembuatan skrip
scriptorium	skriptorium
scripts	naskah
scriptural	kitab suci
scripturally	secara alkitabiah
scripture	Kitab Suci
scriptures	kitab suci
scriptwriter	penulis cerita
scriptwriters	penulis skenario
scriptwriting	penulisan naskah
scrivener	ahli menulis
scrod	scrod
scrofula	penyakit kelenjar
scrofulous	kurang sehat
scroll	menggulir
scrolled	digulirkan
scrolling	menggulir
scrolls	gulungan
scrooge	orang kikir
scrotal	skrotum
scrotum	skrotum
scrounge	mencuri
scrounged	mengemis
scrounging	mengemis
scrub	menggosok
scrubbed	digosok
scrubber	pembersih
scrubbers	alat pembersih
scrubbing	penggosokan
scrubby	kerdil
scrubland	semak belukar
scrubs	seragam medis
scruff	tengkuk
scruffy	kumal
scrum	scrum
scrumptious	lezat
scrumpy	scrumpy
scrums	scrum
scrunch	mengerut
scrunched	mengerut
scrunchie	ikat rambut
scrunchies	ikat rambut
scrunching	meremas
scruple	keberatan
scrupled	ragu-ragu
scruples	keraguan
scrupulous	teliti
scrupulously	dengan cermat
scrutineer	pengawas
scrutineers	pengawas
scrutinize	meneliti
scrutinized	diteliti
scrutinizer	pengawas
scrutinizes	meneliti
scrutinizing	meneliti
scrutiny	pengawasan
scuba	menyelam
scud	gerakan cepat
scudding	meluncur cepat
scudo	scudo
scuds	scuds
scuff	memukul
scuffed	lecet
scuffing	menggores
scuffle	perkelahian
scuffled	berkelahi
scuffles	perkelahian
scuffling	perkelahian
scuffs	goresan
scull	mengayuh
scullers	pendayung
scullery	bufet
sculling	mendayung
scullion	pencuci piring
sculls	tengkorak
sculp	mengukir
sculpin	ikan sculpin
sculpins	ikan sculpin
sculpt	memahat
sculpted	dipahat
sculpting	memahat
sculptor	pematung
sculptors	pematung
sculptress	ahli patung wanita
sculpts	patung
sculptural	pahatan
sculpture	patung
sculptured	dipahat
sculptures	patung-patung
sculpturing	seni memahat
scum	sampah
scumbag	bajingan
scumbags	bajingan
scummy	berbuih
scums	sampah
scup	scup
scupper	membunuh
scuppered	gagal
scuppers	saluran pembuangan
scurf	ketombe
scurried	bergegas
scurries	bergegas
scurrility	kelakar yg tdk senonoh
scurrilous	keji
scurry	bergegas
scurrying	bergegas
scurvy	curang
scute	tameng
scutes	sisik
scuttle	membatalkan
scuttlebutt	kabar angin
scuttled	bergegas
scuttles	scuttles
scuttling	berlarian
scutum	tameng
scuzzy	kotor
scythe	sabit besar
scythes	sabit
sd	sd
sea	laut
seabed	dasar laut
seabird	burung laut
seabirds	burung laut
seaboard	daerah pesisir
seaborne	yg berlayar di laut
seacoast	pantai laut
seadog	anjing laut
seafarer	pelaut
seafarers	pelaut
seafaring	pelayaran
seafloor	dasar laut
seafood	hidangan laut
seafront	pinggir laut
seagoing	yg berlayar di lautan
seagull	camar
seagulls	burung camar
seahorse	kuda laut
seahorses	kuda laut
seal	segel
sealable	dapat disegel
sealant	perekat
sealants	bahan perekat
sealed	tertutup
sealer	penyegel
sealers	penyegel
sealing	penyegelan
seals	segel
sealskin	kulit anjing laut
seam	lapisan
seaman	pelaut
seamanship	ilmu pelayaran
seamark	tanda laut
seamed	dijahit
seamen	pelaut
seaming	jahitan
seamless	tanpa cela
seamlessly	tanpa hambatan
seamount	gunung bawah laut
seamounts	gunung bawah laut
seams	jahitan
seamstress	penjahit wanita
seamstresses	penjahit
seamy	berkelim
seance	sesi pemanggilan arwah
seances	sesi pemanggilan arwah
seaplane	pesawat terbang air
seaplanes	pesawat amfibi
seaport	pelabuhan laut
seaports	pelabuhan laut
sear	menghanguskan
search	mencari
searchable	dapat dicari
searched	dicari
searcher	pencari
searchers	pencari
searches	pencarian
searching	mencari
searchingly	dengan teliti
searchlight	lampu sorot
searchlights	lampu sorot
seared	terbakar
searing	membakar
searingly	sangat menyengat
sears	Sears
seas	laut
seascape	pemandangan laut
seascapes	pemandangan laut
seashell	kerang laut
seashells	kerang laut
seashore	pantai
seashores	pantai
seasick	mabuk laut
seasickness	keadaan mabuk laut
seaside	tepi laut
season	musim
seasonable	musiman
seasonably	sesuai dgn musimnya
seasonal	musiman
seasonality	musiman
seasonally	musiman
seasoned	berpengalaman
seasoning	bumbu
seasonings	bumbu
seasons	musim
seat	kursi
seatbelt	sabuk pengaman
seated	duduk
seating	tempat duduk
seatmate	teman sebangku
seats	kursi
seawall	tembok laut
seawalls	tembok laut
seaward	menuju ke laut
seawards	menuju ke laut
seawater	air laut
seaway	jalur laut
seaways	jalur laut
seaweed	rumput laut
seaweeds	rumput laut
seaworthiness	kelayakan laut
seaworthy	layak laut
sebaceous	kelenjar sebaceous
seborrhea	seborhea
seborrheic	seboroik
sebum	sebum
sec	detik
secant	garis potong
secateurs	gunting pangkas
secco	secco
secede	memisahkan diri
seceded	memisahkan diri
seceding	memisahkan diri
secession	pemisahan diri
secessionist	separatis
secessionists	kaum separatis
sech	sech
seclude	mengasingkan
secluded	terpencil
seclusion	pengasingan
second	Kedua
secondaries	sekunder
secondarily	sekunder
secondary	sekunder
seconded	mendukung
seconder	pendukung
secondhand	bekas
seconding	mendukung
secondly	Kedua
secondment	penugasan sementara
secondments	penugasan sementara
seconds	detik
secrecy	kerahasiaan
secret	rahasia
secretarial	kesekretariatan
secretariat	sekretariat
secretariats	sekretariat
secretaries	sekretaris
secretary	sekretaris
secretaryship	jabatan sekretaris
secrete	mengeluarkan
secreted	disekresikan
secretes	mengeluarkan
secretin	sekretin
secreting	mengeluarkan
secretion	sekresi
secretions	sekresi
secretive	rahasia
secretiveness	kerahasiaan
secretly	secara rahasia
secretory	sekretori
secrets	rahasia
secs	detik
sect	sekte
sectarian	sektarian
sectarianism	sektarianisme
sectarians	kaum sektarian
sectaries	sekte
section	bagian
sectional	bagian
sectionalism	sektarianisme
sectionally	secara bagian
sectionals	bagian-bagian
sectioned	dipotong
sectioning	pemotongan
sections	bagian-bagian
sector	sektor
sectoral	sektoral
sectored	sektoral
sectorial	sektoral
sectors	sektor
sects	sekte
secular	sekuler
secularism	sekularisme
secularist	sekularis
secularists	kaum sekularis
secularity	sekularitas
secularization	sekularisasi
secularized	sekuler
secure	aman
secured	aman
securely	dengan aman
securement	pengamanan
securer	lebih aman
secures	mengamankan
securing	mengamankan
securities	sekuritas
security	keamanan
secy	sekretaris
sedan	sedan
sedans	sedan
sedate	tenang
sedated	dibius
sedately	dgn tenang
sedating	menenangkan
sedation	sedasi
sedative	obat penenang
sedatives	obat penenang
sedentary	tidak aktif
sedge	rumput teki
sedges	rumput teki
sediment	endapan
sedimentary	sedimen
sedimentation	pengendapan
sedimented	terduduk
sedimentology	sedimentologi
sediments	sedimen
sedition	hasutan
seditious	durhaka
seduce	menggoda
seduced	tergoda
seducer	penggoda
seducers	perayu
seduces	menggoda
seducing	menggoda
seduction	bujukan
seductions	rayuan
seductive	yg menggiurkan
seductively	menggoda
seductiveness	daya pikat
seductress	wanita penggoda
sedulous	gigih
sedulously	dengan tekun
sedum	sedum
see	melihat
seed	benih
seedbed	persemaian
seedbeds	persemaian
seeded	ditanam
seeder	alat penyemai benih
seeders	penabur benih
seedier	lebih kumuh
seeding	penyemaian
seedless	tanpa biji
seedling	bibit
seedlings	bibit
seeds	biji-bijian
seedy	kumuh
seeing	melihat
seek	mencari
seeker	pencari
seekers	pencari
seeking	pencarian
seeks	mencari
seel	membutakan
seem	sepertinya
seemed	tampak
seeming	tampak
seemingly	tampaknya
seemly	pantas
seems	sepertinya
seen	terlihat
seep	meresap
seepage	rembesan
seeped	merembes
seeping	merembes
seeps	merembes
seer	peramal
seers	peramal
seersucker	kain seersucker
sees	melihat
seesaw	jungkat jungkit
seesaws	jungkat-jungkit
seethe	mendidih
seethed	mendidih
seethes	mendidih
seething	gelora
segfault	kesalahan segmentasi
segfaults	kesalahan segmentasi
segment	segmen
segmental	segmental
segmentation	segmentasi
segmented	tersegmentasi
segmenting	segmentasi
segments	segmen
segno	tanda
segregate	memisahkan
segregated	tersendiri
segregates	memisahkan
segregating	memisahkan
segregation	pemisahan
segregationist	pendukung segregasi
segregationists	pendukung segregasi
segue	transisi
segued	beralih
segues	transisi
seicento	se70
seigneur	bangsawan
seigneurial	bangsawan
seigneurs	tuan
seignior	bangsawan
seigniorage	hak pemilik tanah
seine	pukat
seiner	jaring pukat
seiners	jaring pukat
seines	jaring pukat
seining	pemukatan
seism	gempa bumi
seismic	seismik
seismically	seismik
seismicity	aktivitas seismik
seismogram	seismogram
seismograph	seismograf
seismographic	seismografik
seismographs	seismograf
seismological	seismologi
seismologist	ahli seismologi
seismologists	ahli seismologi
seismology	seismologi
seismometer	seismometer
seismometers	seismometer
seitan	seitan
seize	menangkap
seized	disita
seizes	merebut
seizing	perebutan
seizure	kejang
seizures	kejang
selaginella	selaginella
selah	selah
seldom	jarang
select	memilih
selectable	dapat dipilih
selected	terpilih
selectee	orang terpilih
selecting	memilih
selection	pilihan
selections	pilihan
selective	selektif
selectively	secara selektif
selectivity	selektivitas
selectman	anggota dewan
selectmen	anggota dewan
selector	pemilih
selectors	pemilih
selects	memilih
selenate	selenat
selenite	selenit
selenium	selenium
self	diri sendiri
selfhood	kepribadian
selfish	egois
selfishly	egois
selfishness	egoisme
selfless	tanpa pamrih
selflessly	tanpa pamrih
selflessness	tanpa pamrih
selfsame	sama persis
sell	menjual
seller	penjual
sellers	penjual
selling	penjualan
selloff	aksi jual
sellotape	selotip
sellout	terjual habis
sellouts	terjual habis
sells	menjual
seltzer	air soda
selvage	tepi tenunan yg dianyam
selvedge	tepi tenunan yg dianyam
selves	diri sendiri
sem	sem
semantic	semantik
semantical	semantik
semantically	secara semantik
semantics	semantik
semaphore	tiang sinyal
semaphores	semafor
semblable	mirip
semblance	kemiripan
semen	air mani
semester	semester
semesters	semester
semi	semi
semiannual	setengah tahun
semiannually	setengah tahunan
semiarid	semi-kering
semiautomatic	setengah otomatis
semicircle	setengah lingkaran
semicircles	setengah lingkaran
semicircular	berbentuk setengah lingkaran
semiclassical	semiklasik
semicolon	titik koma
semicolons	titik koma
semiconducting	semikonduktor
semiconductor	semikonduktor
semiconductors	semikonduktor
semidiurnal	setengah hari
semifinal	semi final
semifinalist	semi finalis
semifinalists	semifinalis
semifinals	semifinal
semiformal	semi-formal
semigloss	semi-kilap
semilunar	bulan sabit
semimonthly	setengah bulanan
seminal	penting
seminar	seminar
seminarian	seminaris
seminarians	seminaris
seminaries	seminari
seminars	seminar
seminary	seminari
semiofficial	setengah resmi
semiology	semiologi
semiotic	semiotik
semiotics	semiotika
semipermanent	semi-permanen
semipermeable	semipermeabel
semiprecious	batu semi mulia
semiprivate	setengah swasta
semipro	semipro
semiprofessional	semi-profesional
semis	semi
semiskilled	semi terampil
semisolid	semi padat
semisweet	semi manis
semitone	nada setengah
semitones	nada setengah
semitrailer	semi-trailer
semitrailers	truk semi-trailer
semitransparent	setengah tembus terang
semolina	semolina
sen	sen
senate	senat
senates	senat
senator	senator
senatorial	senatorial
senators	senator
send	mengirim
sender	pengirim
senders	pengirim
sending	mengirim
sendoff	perpisahan
sends	mengirim
sene	sene
senescence	penuaan
senescent	penuaan
seneschal	seneschal
senhor	Tuan
senile	pikun
senility	kepikunan
senior	senior
seniority	senioritas
seniors	senior
senna	senna
senor	Tuan
senora	Nyonya
senorita	senorita
senoritas	senoritas
sens	sens
sensate	merasa
sensation	sensasi
sensational	sensasional
sensationalism	sensasionalisme
sensationalist	sensasionalis
sensationalistic	sensasional
sensationalize	melebih-lebihkan
sensationalized	disensasionalkan
sensationally	secara sensasional
sensations	sensasi
sense	nalar
sensed	dirasakan
senseless	bodoh
senselessly	tanpa alasan
senselessness	keadaan pingsan
senses	indra
sensibilities	kepekaan
sensibility	kepekaan
sensible	masuk akal
sensibly	secara pantas
sensillum	sensilum
sensing	penginderaan
sensitive	peka
sensitively	sensitif
sensitiveness	kepekaan
sensitivities	sensitivitas
sensitivity	kepekaan
sensitization	sensitisasi
sensitize	membuat peka
sensitized	peka
sensitizers	zat peng sensitif
sensitizes	membuat peka
sensitizing	membuat sensitif
sensor	sensor
sensorimotor	sensorimotor
sensorium	sensorium
sensors	sensor
sensory	indrawi
sensual	sensual
sensualism	sensualisme
sensualist	sensualis
sensuality	sensualitas
sensually	sensual
sensuous	sensual
sensuously	sensual
sensuousness	sensualitas
sent	terkirim
sente	kalimat
sentence	kalimat
sentenced	dijatuhi hukuman
sentences	kalimat
sentencing	hukuman
sentential	kalimat
sententious	singkat dan tegas
sentience	kesanggupan merasa
sentient	berakal sehat
sentiment	sentimen
sentimental	sentimentil
sentimentalism	sentimentalitas
sentimentalist	orang yg mudah terharu
sentimentalists	sentimentalis
sentimentality	kecengengan
sentimentally	secara sentimental
sentiments	perasaan
sentinel	penjaga
sentinels	penjaga
sentries	penjaga
sentry	penjaga
sepal	kelopak bunga
sepals	kelopak bunga
separability	sifat dpt dipisahkan
separable	dapat dipisahkan
separate	memisahkan
separated	terpisah
separately	terpisah
separateness	keterpisahan
separates	memisahkan
separating	memisahkan
separation	pemisahan
separations	pemisahan
separatism	separatisme
separatist	separatis
separatists	kaum separatis
separator	pemisah
separators	pemisah
separatrix	pemisah
sepia	warna coklat tua
sepoy	sepoi
seppuku	seppuku
sepsis	sepsis
sept	September
septa	septa
septal	septal
septate	bersekat
septet	septet
septic	septik
septicemia	keracunan darah
septs	septs
septuagenarian	yg berumur tujuhpuluh tahun
septum	sekat
sepulcher	kubur
sepulchral	muram
sepulture	pekuburan
seq	urutan
seqq	seqq
sequel	sekuel
sequela	sekuela
sequelae	akibat
sequels	sekuel
sequence	urutan
sequenced	diurutkan
sequencer	pengurut
sequencers	pengurut
sequences	urutan
sequencing	pengurutan
sequent	berurutan
sequential	berurutan
sequentially	secara berurutan
sequently	selanjutnya
sequester	menyita
sequestered	terasing
sequestering	menyita
sequestrated	disita
sequestration	penyitaan
sequin	payet
sequined	berpayet
sequinned	berhiaskan payet
sequins	payet
sequitur	sequitur
sequoia	sequoia
sequoias	pohon sequoia
ser	ser
seraglio	istana
serai	istana
serape	selendang
seraph	malaikat
seraphic	seperti malaikat
sere	layu
serena	Serena
serenade	serenade
serenaded	diseranaikan
serenades	serenata
serenading	menyanyikan lagu
serenata	rayuan musik
serendipitous	kebetulan
serendipitously	secara kebetulan
serendipity	keberuntungan
serene	tenang
serenely	dengan tenang
serenity	ketenangan
serf	budak
serfdom	perbudakan
serfs	budak
serge	serge
sergeant	sersan
sergeants	sersan
serial	serial
serialism	serialisme
serializable	dapat diserialkan
serialization	serialisasi
serialize	serialisasi
serialized	serial
serializes	menserialisasi
serializing	serialisasi
serially	secara berurutan
serials	serial
seriatim	berturutan
sericulture	budidaya ulat sutra
series	seri
serif	serif
serifs	serif
serigraph	serigrafi
serigraphs	serigrafi
serigraphy	serigrafi
serin	serin
serine	serin
serines	serin
serious	serius
seriously	dengan serius
seriousness	keseriusan
serjeant	polisi pengadilan
serjeants	sersan
sermon	khotbah
sermonizing	berkhotbah
sermons	khotbah
serologic	serologis
serological	serologis
serologically	secara serologis
serology	serologi
seronegative	seronegatif
seropositive	seropositif
serosa	serosa
serotonin	serotonin
serous	serius
serpent	ular
serpentine	ular
serpents	ular
serrate	bergigi
serrated	bergerigi
serrations	gerigi
serried	bergigi
serum	serum
serums	serum
serval	serval
servant	pelayan
servants	pelayan
serve	melayani
served	disajikan
server	server
servers	server
servery	tempat penyajian
serves	melayani
service	melayani
serviceability	kemampuan servis
serviceable	berguna
serviceberry	serviceberry
serviced	dilayani
serviceman	prajurit
servicemen	prajurit
services	layanan
servicewomen	wanita militer
servicing	pelayanan
serviette	serbet makan
serviettes	serbet
servile	seperti budak
servility	sikap merendahkan diri
serving	porsi
servings	porsi
servitor	pelayan
servitors	pelayan
servitude	perbudakan
servo	servo
servomotor	servomotor
servomotors	motor servo
servos	servo
sesame	wijen
sesquicentennial	satu setengah abad
sesquioxide	seskuoksida
sessile	sesil
session	sidang
sessions	sesi
sestina	sestina
set	mengatur
seta	seta
setae	bulu-bulu
setback	kemunduran
setbacks	kemunduran
sets	set
setscrew	sekrup pengatur
sett	sett
settable	dapat diatur
settee	sofa
settees	sofa
setter	setter
setters	setter
setting	pengaturan
settings	pengaturan
settle	menetap
settled	mapan
settlement	hunian
settlements	pemukiman
settler	pendatang
settlers	pemukim
settles	menetap
settling	penyelesaian
settlor	pemukim
setts	setts
setup	pengaturan
setups	pengaturan
seven	tujuh
sevenfold	tujuh kali
sevens	tujuh
seventeen	tujuhbelas
seventeenth	ketujuhbelas
seventh	ketujuh
sevenths	ketujuh
seventies	tahun tujuh puluhan
seventieth	ketujuhpuluh
seventy	tujuh puluh
sever	memutuskan
severable	dapat dipisahkan
several	beberapa
severally	masing-masing
severalty	beberapa puluh
severance	pemutusan
severe	berat
severed	terputus
severely	parah
severer	lebih parah
severest	paling parah
severing	memutus
severity	kerasnya
severs	beberapa
sew	menjahit
sewage	kotoran
sewed	dijahit
sewer	saluran pembuangan
sewerage	saluran pembuangan
sewers	saluran pembuangan
sewing	jahit
sewn	dijahitkan
sews	menjahit
sex	seks
sexed	berhubungan seks
sexes	jenis kelamin
sexier	lebih seksi
sexiest	terseksi
sexily	seksi
sexiness	daya tarik kelamin
